country,iso3,hs10,year,tariff_max,tariff_scaled,effective_mdate
"AUSTRIA","AUT",7304191045,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304191060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304191060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304195020,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304195020,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304195050,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304195050,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304220030,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304220030,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304233000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304233000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304236030,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304236030,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304236045,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304236045,2019,.25,.25,2018m6
